"","category","name","price","ratings","no_of_reviews"
"84","GamingAccessories","KOORUI 24 Inch Computer Monitor FHD 1920 x 1080p 100HZ, Built-in Speakers, Ultra-Slim Bezels, 75mm VESA Mountable, Tilt Adjustable, HDMI, VGA, Black","399.",NA,"1,473"
"85","GamingAccessories","BenQ GW2280 22 Inch 1080p Eye Care LCD Monitor, Anti-Glare, Dual HDMI, B.I. Sensor for Home Office - Black","179.",NA,"1,782"
"86","GamingAccessories","BenQ ZOWIE XL2546K 24.5 inch 240Hz Gaming Monitor | 1080P | DyAc+ | Smaller Base | Flexible height & tilt adjustment | XL Setting to Share | Customizable Quick Menu | S-Switch | Shield","98.",NA,"3,349"
"87","GamingAccessories","Lenovo Legion Y25-30 25 Inch Gaming Monitor | FHD, 1080p, 240Hz, 0.5ms, HDMI, DP, USB | AMD Freesync | PS, Xbox, PC screen","186.",NA,"42"
"88","GamingAccessories","Dell E2423H 24 Inch Full HD (1920x1080) Monitor, 60Hz, VA, 5ms, DisplayPort, VGA, 3 Year Warranty, Black","141.",NA,"2,539"
"89","GamingAccessories","Lenovo ThinkVision T23i-20 23"" Full HD Monitor - IPS, 60Hz, 6ms, HDMI, DP",NA,NA,"1"
"90","GamingAccessories","AOC 24P1 - 24 Inch FHD Monitor, 60Hz, 5ms, IPS, Speakers, Height Adjust, USB Hub, Flicker Free (1920x1080 @ 60Hz, 5ms, IPS, 250cd/m², HDMI/VGA/DVI/DP/USB 3.2)",NA,NA,"88"
"91","GamingAccessories","Samsung F22T450FQR - T45F Series - LED monitor - 22"" - 1920 x 1080 Full HD (1080p) @ 75 Hz - IPS - 250 cd/m² - 1000:1-5 ms - 2xHDMI, DisplayPort - black",NA,NA,"415"
"92","GamingAccessories","ASUS VA24DCP Eye Care Monitor 23.8"" Full HD, IPS, Frameless, USB-C, 65W PD, 75Hz, Adaptive-Sync/FreeSync, Low Blue Light, Flicker Free, Wall Mountable",NA,NA,"130"
"93","GamingAccessories","Samsung S22A336NHU - S33A Series - LED monitor - 22"" - 1920 x 1080 Full HD (1080p) @ 60 Hz - VA - 250 cd/m² - 3000:1-5 ms - HDMI, VGA - black",NA,NA,"181"
"94","GamingAccessories","Philips 241E1SCA - 24 inch FHD Curved monitor, 75Hz, 4ms, VA, AMD FreeSync, Speakers, SmartImage (1920 x 1080, 250 cd/m², HDMI/VGA)",NA,NA,"426"
"95","GamingAccessories","ASUS BE24EQSK Video Conferencing Monitor - 24 inch Full HD, IPS, Frameless, Full HD Webcam, Mic Array, Stereo Speakers, Ergonomic Design, HDMI, Eye Care, Wall Mountable",NA,NA,"426"
"96","GamingAccessories","Z-Edge 25 Inch (24.5 Inch) Gaming Monitor 240Hz 1ms MPRT Full HD VA Panel, Ultra-Thin Bezel, FreeSync, HDMI2.0 & DisplayPort1.4, VESA Mountable, Built-in Speakers, Black",NA,NA,"51"
"97","GamingAccessories","MSI PRO MP241X 23.8"" Monitor, FHD (1920 x 1080), 75Hz, VA, 4ms, HDMI, VGA, Anti-Glare, Anti-Flicker, Less Blue light, TÜV Certified, VESA, Black","71.","4.2 out of 5 stars","399"
"98","GamingAccessories","Dell U2422HE UltraSharp USB-C 24 Inch Full HD (1920x1080) Monitor, 60Hz, IPS, 5ms, 100% sRGB, 3x USB-C, 2x DisplayPort, HDMI, 4x USB, RJ45, 3 Year Warranty, Silver","275.","3.9 out of 5 stars","223"
"99","GamingAccessories","iiyama XUB2494HSU-B2 24 Inch VA LCD with Slim Bezel, 4ms, Full HD 1920 x 1080,1x HDMI,1 x DisplayPort, 2 x USB, 2 x 2W Speakers","108.","4.2 out of 5 stars","26"
"100","GamingAccessories","Acer CBA242YHbirf 24-inch Monitor - VA Panel, 1920 x 1080, 4ms, 100Hz, FreeSync, HDMI, VGA, Height Adjustable","94.","4.0 out of 5 stars","3"
