"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"72","hsertt weight cable pulley system gym","suficiente","cliente amazon","tuve que comprar poleas a parte para ponerlas directamente en el techo las q trae son ganchos en las q el cable se enreda fcilmentecumple con su funcin",2023-06-01,4,"verified purchase"
"73","hsertt weight cable pulley system gym","drcent","zuda","worth the money",2022-08-31,4,"verified purchase"
"74","hsertt weight cable pulley system gym","trs bonnes poulies","philippe baconnet","je dois dire que je suis agrablement surpris pat la facilit de montage des poulies qui semble solidesles diffrentes possibilits dinstallations sont vraiment pratique pour travailler diffrents groupesmusculaires et pouvoir sentrainer correctement  la maisonje recommande ce produit",2023-02-21,4,"verified purchase"
"75","hsertt weight cable pulley system gym","davvero tanta roba","gabriele castello","ottimo sistema di pulegge tutto il materiale  robusto e fatto benedavvero funzionale per una home gymha tutte le impugnature per gli esercizi tranne la sbarra lat machineregge carichi anche elevati senza la preoccupazione che si rompa",2024-02-14,4,"verified purchase"
"76","hsertt weight cable pulley system gym","top","wilfried lienard","excellent article grce au  poulie je peux travailler soit en poulie haute ou basse sur ma chaise romainepossible aussi de faire du leg curl et kick back si vous avez les accroches de jambes",2022-12-29,5,"verified purchase"
"77","hsertt weight cable pulley system gym","great bit of kit","remote control giant","i love this set really good quality components that feel like theyll last i use it connected in various ways to my powertower  pull up station and the possible combinations of connections for different exercises is really impressive for about  ive been able to add another    different weighted exercises to my home gym set up im considering adding some wall and ceiling anchors to really optimise how i can use it now",2023-10-25,5,"verified purchase"
"78","hsertt weight cable pulley system gym","good quality products","garnet maclean","the system is well designed and easy to use",2023-08-31,5,"verified purchase"
"79","hsertt weight cable pulley system gym","super system ","tim bretschneider","habe eine klimmzugstange zuhause und so wird sie zum multifunktionsturm  so einfach u doch so effektiv",2023-10-24,5,"verified purchase"
"80","hsertt weight cable pulley system gym","producto impecable","francisco javier torres rodrguez","lleg todo muy bien empaquetado en una buena caja y con todos los accesorios metidos en sus respectivas bolsitas muy bien protegidos la calidad de las distintas partes es muy buena las poleas son muy silenciosas y se ven resistentes los mosquetones son bastante robustos no como los de productos similares ms pequeos y endebles los dems accesorios se ven estupendos tambin la bolsa de tela que trae est muy bien tambin muy contento con el producto en definitiva no esperaba tanto la verdad gracias",2023-01-21,5,"verified purchase"
"81","hsertt weight cable pulley system gym","perfekt","sandra k","so soll es sein super",2023-10-15,4,"verified purchase"
"82","hsertt weight cable pulley system gym","wish i ordered this years ago","ken","i wish i had ordered this for my home gym years ago the overall quality of this is fantastic i was really surprised doesnt feel cheap at all and set up is super easy i simply hook it up to my pull up bar in the door frame takes about  seconds pile the weights on and go im using standard plates and the loading pin measures about  tall plenty of room to stack a decent amount of weight onfor the last several years ive been using barbells and dumbbells basic stuff but wow its so nice to have access to such a wide range of new exercises nowthe only exercises that dont quite feel right are the cable flyes when the pulleys are attached to a pull up bar and bicep curlswith cable flyes in a gym the pulleys are directly at your sides which creates a constant tension on your chest muscles no matter where your arms are in the range of motion when this set up is attached to your pull up bar at home you have to step forward which moves the pulleys are behind you so once your arms are pointed straight out in front of you the tension is taken off your chest muscles and placed directly onto your shoulders and triceps so at best you get the same stimulation youd get from a dumbbell chest fly with the same limitations of that movementfor bicep curls it just doesnt feel right when the loading pin is attached to the pulley and allowed to glide freely on the cable like they show in the pictures so an easy fix for this is to simply not use the cables load up the loading pin with your weights attach the rope or straight bar to it and do your curls that way no cable needed you get a lot more tension on your biceps that way than if you try to let the pulley glide freely on the cableotherwise all of the tricep shoulder back and ab movements feel fantastic with this set up sertt offers two different options for this set one is a little cheaper and comes with fewer attachments and cables i highly encourage you to spend the extra  on this one for the extra cables attachments and pulley im constantly discovering new exercises to do and i wouldnt be able to do them without the extra equipment that comes with this  optionhighly highly recommend this",2021-12-03,5,"verified purchase"
"83","hsertt weight cable pulley system gym","perfetto","marco ","set completo per fare molti esercizi  acquisto azzeccato ",2023-05-27,5,"verified purchase"
"84","hsertt weight cable pulley system gym","cantidad de ejercicios","marco ","cantidad de ejercicios que puedo hacer ahora con esto",2022-12-21,5,"verified purchase"
